state,year,online_crime,number_of_cases,financial_losses_rm,number_of_victims,age_group,gender
Sabah,2022,Telecommunication crime,421,22035971.7,,,
Sabah,2023,Telecommunication crime,555,12795123.4,,,
Sarawak,2021,Telecommunication crime,499,13125837.5,,,
Sarawak,2022,Telecommunication crime,503,18360057.6,,,
Sarawak,2023,Telecommunication crime,586,21915961.7,,,
W.P. Kuala Lumpur,2021,Telecommunication crime,1028,39422183.1,,,
W.P. Kuala Lumpur,2022,Telecommunication crime,1094,50752901.7,,,
W.P. Kuala Lumpur,2023,Telecommunication crime,1491,684806015,,,
Johor,2021,e-Finance,41,4018159.2,,,
Johor,2022,e-Finance,128,4916561.5,,,
Johor,2023,e-Finance,349,17314164.2,,,
Kedah,2021,e-Finance,53,401430.3,,,
Kedah,2022,e-Finance,56,6076062.4,,,
Kedah,2023,e-Finance,105,3010117.6,,,
Kelantan,2021,e-Finance,41,853052.3,,,
Kelantan,2022,e-Finance,48,1097218.3,,,
Kelantan,2023,e-Finance,45,925969.9,,,
Melaka,2021,e-Finance,38,1273102,,,
Melaka,2022,e-Finance,52,2498003.1,,,
Melaka,2023,e-Finance,77,1070434.9,,,
Negeri Sembilan,2021,e-Finance,95,1030951.7,,,
Negeri Sembilan,2022,e-Finance,133,5624101.9,,,
Negeri Sembilan,2023,e-Finance,156,1898518.3,,,
Pahang,2021,e-Finance,33,1965364.3,,,
Pahang,2022,e-Finance,48,1127520,,,
Pahang,2023,e-Finance,87,1036714.5,,,
Pulau Pinang,2021,e-Finance,66,11484089.3,,,
Pulau Pinang,2022,e-Finance,93,19671657.1,,,
Pulau Pinang,2023,e-Finance,134,2466463.9,,,
Perak,2021,e-Finance,43,1612396.7,,,
Perak,2022,e-Finance,62,2016408.3,,,
Perak,2023,e-Finance,145,3867021.6,,,
Perlis,2021,e-Finance,13,43133.9,,,
Perlis,2022,e-Finance,29,283857,,,
Perlis,2023,e-Finance,17,191044.3,,,
Selangor,2021,e-Finance,85,10925872.7,,,
Selangor,2022,e-Finance,127,13030961.6,,,
Selangor,2023,e-Finance,358,16392860.2,,,
Terengganu,2021,e-Finance,70,733718.1,,,
Terengganu,2022,e-Finance,89,1638309.4,,,
Terengganu,2023,e-Finance,92,1394507.7,,,
Sabah,2021,e-Finance,45,716963,,,
Sabah,2022,e-Finance,48,869807.2,,,
Sabah,2023,e-Finance,100,2053325.8,,,
Sarawak,2021,e-Finance,191,5260925.9,,,
Sarawak,2022,e-Finance,192,2796302.3,,,
Sarawak,2023,e-Finance,204,11546497.1,,,
W.P. Kuala Lumpur,2021,e-Finance,82,33135809,,,
W.P. Kuala Lumpur,2022,e-Finance,152,14570189.9,,,
W.P. Kuala Lumpur,2023,e-Finance,223,41734607.3,,,
Johor,2021,Love scam,122,6455871.7,,,
Johor,2022,Love scam,77,7624895,,,
Johor,2023,Love scam,91,3506281.9,,,
Kedah,2021,Love scam,98,2361385,,,
Kedah,2022,Love scam,56,2467609,,,
Kedah,2023,Love scam,81,1578447,,,
Kelantan,2021,Love scam,50,1263000,,,
Kelantan,2022,Love scam,29,1009104.1,,,
Kelantan,2023,Love scam,28,1062035.4,,,
Melaka,2021,Love scam,77,2443531.6,,,
Melaka,2022,Love scam,54,1931420,,,
Melaka,2023,Love scam,46,730279.4,,,
Negeri Sembilan,2021,Love scam,116,1819840.3,,,
Negeri Sembilan,2022,Love scam,74,1836809.5,,,
Negeri Sembilan,2023,Love scam,81,2638996,,,
Pahang,2021,Love scam,88,1755377.3,,,
Pahang,2022,Love scam,68,5539930,,,
Pahang,2023,Love scam,67,1161595.8,,,
Pulau Pinang,2021,Love scam,132,4748743,,,
Pulau Pinang,2022,Love scam,52,6338727,,,
Pulau Pinang,2023,Love scam,73,2914846.1,,,
Perak,2021,Love scam,92,2963636.3,,,
Perak,2022,Love scam,59,2613542.6,,,
Perak,2023,Love scam,61,3318529.7,,,
Perlis,2021,Love scam,26,266150,,,
Perlis,2022,Love scam,12,119630,,,
Perlis,2023,Love scam,9,78050,,,
Selangor,2021,Love scam,208,14789474.6,,,
Selangor,2022,Love scam,97,13161139.1,,,
Selangor,2023,Love scam,138,10674424,,,
Terengganu,2021,Love scam,81,911600.7,,,
Terengganu,2022,Love scam,36,1003947,,,
Terengganu,2023,Love scam,41,1007962.4,,,
Sabah,2021,Love scam,50,1755275.7,,,
Sabah,2022,Love scam,18,1536127.9,,,
Sabah,2023,Love scam,36,4217696.1,,,
Sarawak,2021,Love scam,104,4513224.1,,,
Sarawak,2022,Love scam,49,2349682.4,,,
Sarawak,2023,Love scam,58,3639120,,,
W.P. Kuala Lumpur,2021,Love scam,216,10696119.6,,,
W.P. Kuala Lumpur,2022,Love scam,111,8741230,,,
W.P. Kuala Lumpur,2023,Love scam,125,7424335.2,,,
Johor,2021,e-Commerce,844,8977727.1,,,
Johor,2022,e-Commerce,889,16552901.3,,,
Johor,2023,e-Commerce,1117,20707759.5,,,
Kedah,2021,e-Commerce,599,3717342.3,,,
Kedah,2022,e-Commerce,545,7765761.6,,,
Kedah,2023,e-Commerce,573,6914626.2,,,
Kelantan,2021,e-Commerce,350,1978331.5,,,
Kelantan,2022,e-Commerce,298,3732594.2,,,
Kelantan,2023,e-Commerce,308,3184169.5,,,
Melaka,2021,e-Commerce,340,2882936.3,,,
Melaka,2022,e-Commerce,469,4967247.2,,,
Melaka,2023,e-Commerce,528,5963514.6,,,
Negeri Sembilan,2021,e-Commerce,1002,4302590.6,,,
Negeri Sembilan,2022,e-Commerce,751,5849898.1,,,
Negeri Sembilan,2023,e-Commerce,971,9788820,,,
Pahang,2021,e-Commerce,633,4436502.4,,,
Pahang,2022,e-Commerce,707,7621167.9,,,
Pahang,2023,e-Commerce,742,8068364,,,
Pulau Pinang,2021,e-Commerce,958,7484766.6,,,
Pulau Pinang,2022,e-Commerce,839,14731560.2,,,
Pulau Pinang,2023,e-Commerce,1017,16707838,,,
Perak,2021,e-Commerce,657,4928469.3,,,
Perak,2022,e-Commerce,612,8236097.7,,,
Perak,2023,e-Commerce,750,9452105.1,,,
Perlis,2021,e-Commerce,151,417945.4,,,
Perlis,2022,e-Commerce,147,1392777,,,
Perlis,2023,e-Commerce,115,850620.8,,,
Selangor,2021,e-Commerce,1202,12409164.9,,,
Selangor,2022,e-Commerce,1115,25054326,,,
Selangor,2023,e-Commerce,2156,65077024.2,,,
Terengganu,2021,e-Commerce,472,2164802.2,,,
Terengganu,2022,e-Commerce,396,4336149.9,,,
Terengganu,2023,e-Commerce,367,4137239.1,,,
Sabah,2021,e-Commerce,437,3814883.6,,,
Sabah,2022,e-Commerce,417,6783454.3,,,
Sabah,2023,e-Commerce,683,7592289.6,,,
Sarawak,2021,e-Commerce,786,4629948.9,,,
Sarawak,2022,e-Commerce,745,8245941.2,,,
Sarawak,2023,e-Commerce,908,12541095.3,,,
W.P. Kuala Lumpur,2021,e-Commerce,1068,10881906.7,,,
W.P. Kuala Lumpur,2022,e-Commerce,1328,24715931.6,,,
W.P. Kuala Lumpur,2023,e-Commerce,1246,33278648.8,,,
Johor,2021,Non-existent loans,516,6285023.7,,,
Johor,2022,Non-existent loans,299,3518799.6,,,
Johor,2023,Non-existent loans,511,5308987.2,,,
Kedah,2021,Non-existent loans,299,2855183.8,,,
Kedah,2022,Non-existent loans,216,2565361.4,,,
Kedah,2023,Non-existent loans,281,2719240.3,,,
Kelantan,2021,Non-existent loans,130,1376485.3,,,
Kelantan,2022,Non-existent loans,109,879092.5,,,
Kelantan,2023,Non-existent loans,95,1100363,,,
Melaka,2021,Non-existent loans,211,2113148.3,,,
Melaka,2022,Non-existent loans,180,1537540.6,,,
Melaka,2023,Non-existent loans,259,1885451.3,,,
Negeri Sembilan,2021,Non-existent loans,439,3737114.3,,,
Negeri Sembilan,2022,Non-existent loans,336,2518375.8,,,
Negeri Sembilan,2023,Non-existent loans,389,2595406.8,,,
Pahang,2021,Non-existent loans,331,3043532.8,,,
Pahang,2022,Non-existent loans,253,3127424.9,,,
Pahang,2023,Non-existent loans,322,2267573.3,,,
Pulau Pinang,2021,Non-existent loans,405,4640735.7,,,
Pulau Pinang,2022,Non-existent loans,261,2748468.7,,,
Pulau Pinang,2023,Non-existent loans,376,3753189.3,,,
Perak,2021,Non-existent loans,287,3223203,,,
Perak,2022,Non-existent loans,200,2214339.7,,,
Perak,2023,Non-existent loans,320,3018670,,,
Perlis,2021,Non-existent loans,49,401416.8,,,
Perlis,2022,Non-existent loans,53,324186.2,,,
Perlis,2023,Non-existent loans,62,530395.2,,,
Selangor,2021,Non-existent loans,649,8251377.6,,,
Selangor,2022,Non-existent loans,304,6660116.3,,,
Selangor,2023,Non-existent loans,577,7667114.1,,,
Terengganu,2021,Non-existent loans,185,1315681.9,,,
Terengganu,2022,Non-existent loans,154,1290693.9,,,
Terengganu,2023,Non-existent loans,99,800739.6,,,
Sabah,2021,Non-existent loans,220,3213542.1,,,
Sabah,2022,Non-existent loans,136,2373913.7,,,
Sabah,2023,Non-existent loans,199,1819475.9,,,
Sarawak,2021,Non-existent loans,436,3889564.6,,,
Sarawak,2022,Non-existent loans,232,2588853.3,,,
Sarawak,2023,Non-existent loans,309,2509324,,,
W.P. Kuala Lumpur,2021,Non-existent loans,627,6258313.7,,,
W.P. Kuala Lumpur,2022,Non-existent loans,441,5099929.5,,,
W.P. Kuala Lumpur,2023,Non-existent loans,464,4786885.9,,,
Johor,2021,Non-existent investments,383,16316691,,,
Johor,2022,Non-existent investments,306,19476331.4,,,
Johor,2023,Non-existent investments,617,49569113.3,,,
Kedah,2021,Non-existent investments,220,7942224.8,,,
Kedah,2022,Non-existent investments,230,8563948.2,,,
Kedah,2023,Non-existent investments,326,14124391.5,,,
Kelantan,2021,Non-existent investments,90,2172830.1,,,
Kelantan,2022,Non-existent investments,135,4203434.4,,,
Kelantan,2023,Non-existent investments,148,7495794.1,,,
Melaka,2021,Non-existent investments,163,5257242.2,,,
Melaka,2022,Non-existent investments,180,5107222.7,,,
Melaka,2023,Non-existent investments,296,21844890.7,,,
Negeri Sembilan,2021,Non-existent investments,231,8498528,,,
Negeri Sembilan,2022,Non-existent investments,324,8714018.9,,,
Negeri Sembilan,2023,Non-existent investments,400,17136664.9,,,
Pahang,2021,Non-existent investments,161,7295434.9,,,
Pahang,2022,Non-existent investments,243,6268691.8,,,
Pahang,2023,Non-existent investments,361,10526574.6,,,
Pulau Pinang,2021,Non-existent investments,402,42194862.1,,,
Pulau Pinang,2022,Non-existent investments,277,13085002.6,,,
Pulau Pinang,2023,Non-existent investments,462,39352347.6,,,
Perak,2021,Non-existent investments,199,13420940.1,,,
Perak,2022,Non-existent investments,199,9318845.4,,,
Perak,2023,Non-existent investments,386,20470965.4,,,
Perlis,2021,Non-existent investments,40,604392.5,,,
Perlis,2022,Non-existent investments,48,629138,,,
Perlis,2023,Non-existent investments,62,2049441.9,,,
Selangor,2021,Non-existent investments,475,59808621.7,,,
Selangor,2022,Non-existent investments,408,81337395.2,,,
Selangor,2023,Non-existent investments,1018,149521120.5,,,
Terengganu,2021,Non-existent investments,106,2920146.3,,,
Terengganu,2022,Non-existent investments,178,3493315.3,,,
Terengganu,2023,Non-existent investments,183,7261239.4,,,
Sabah,2021,Non-existent investments,106,7818231.7,,,
Sabah,2022,Non-existent investments,167,8060317.9,,,
Sabah,2023,Non-existent investments,246,18509476.2,,,
Sarawak,2021,Non-existent investments,136,8020589.9,,,
Sarawak,2022,Non-existent investments,144,6763711,,,
Sarawak,2023,Non-existent investments,253,23659967.6,,,
W.P. Kuala Lumpur,2021,Non-existent investments,483,62784653.6,,,
W.P. Kuala Lumpur,2022,Non-existent investments,427,44815087.5,,,
W.P. Kuala Lumpur,2023,Non-existent investments,635,91307085.8,,,
Johor,2021,Telecommunication crime,,,38,15-20,
Johor,2021,Telecommunication crime,,,153,21-30,
Johor,2021,Telecommunication crime,,,137,31-40,
Johor,2021,Telecommunication crime,,,138,41-50,
Johor,2021,Telecommunication crime,,,91,51-60,
Johor,2021,Telecommunication crime,,,89,>=61,
Johor,2021,e-Finance,,,2,15-20,
Johor,2021,e-Finance,,,14,21-30,
Johor,2021,e-Finance,,,7,31-40,
Johor,2021,e-Finance,,,6,41-50,
Johor,2021,e-Finance,,,9,51-60,
Johor,2021,e-Finance,,,3,>=61,
Johor,2022,Telecommunication crime,,,17,15-20,
Johor,2022,Telecommunication crime,,,180,21-30,
Johor,2022,Telecommunication crime,,,181,31-40,
Johor,2022,Telecommunication crime,,,138,41-50,
Johor,2022,Telecommunication crime,,,111,51-60,
Johor,2022,Telecommunication crime,,,81,>=61,
Johor,2022,e-Finance,,,5,15-20,
Johor,2022,e-Finance,,,25,21-30,
Johor,2022,e-Finance,,,35,31-40,
Johor,2022,e-Finance,,,38,41-50,
Johor,2022,e-Finance,,,16,51-60,
Johor,2022,e-Finance,,,9,>=61,
Johor,2023,Telecommunication crime,,,56,15-20,
Johor,2023,Telecommunication crime,,,334,21-30,
Johor,2023,Telecommunication crime,,,240,31-40,
Johor,2023,Telecommunication crime,,,153,41-50,
Johor,2023,Telecommunication crime,,,153,51-60,
Johor,2023,Telecommunication crime,,,116,>=61,
Johor,2023,e-Finance,,,24,15-20,
Johor,2023,e-Finance,,,76,21-30,
Johor,2023,e-Finance,,,84,31-40,
Johor,2023,e-Finance,,,80,41-50,
Johor,2023,e-Finance,,,57,51-60,
Johor,2023,e-Finance,,,27,>=61,
Kedah,2021,Telecommunication crime,,,28,15-20,
Kedah,2021,Telecommunication crime,,,103,21-30,
Kedah,2021,Telecommunication crime,,,75,31-40,
Kedah,2021,Telecommunication crime,,,76,41-50,
Kedah,2021,Telecommunication crime,,,63,51-60,
Kedah,2021,Telecommunication crime,,,28,>=61,
Kedah,2021,e-Finance,,,4,15-20,
Kedah,2021,e-Finance,,,19,21-30,
Kedah,2021,e-Finance,,,8,31-40,
Kedah,2021,e-Finance,,,9,41-50,
Kedah,2021,e-Finance,,,8,51-60,
Kedah,2021,e-Finance,,,5,>=61,
Kedah,2022,Telecommunication crime,,,27,15-20,
Kedah,2022,Telecommunication crime,,,118,21-30,
Kedah,2022,Telecommunication crime,,,108,31-40,
Kedah,2022,Telecommunication crime,,,105,41-50,
Kedah,2022,Telecommunication crime,,,63,51-60,
Kedah,2022,Telecommunication crime,,,53,>=61,
Kedah,2022,e-Finance,,,2,15-20,
Kedah,2022,e-Finance,,,11,21-30,
Kedah,2022,e-Finance,,,12,31-40,
Kedah,2022,e-Finance,,,13,41-50,
Kedah,2022,e-Finance,,,9,51-60,
Kedah,2022,e-Finance,,,9,>=61,
Kedah,2023,Telecommunication crime,,,37,15-20,
Kedah,2023,Telecommunication crime,,,170,21-30,
Kedah,2023,Telecommunication crime,,,113,31-40,
Kedah,2023,Telecommunication crime,,,106,41-50,
Kedah,2023,Telecommunication crime,,,80,51-60,
Kedah,2023,Telecommunication crime,,,47,>=61,
Kedah,2023,e-Finance,,,9,15-20,
Kedah,2023,e-Finance,,,25,21-30,
Kedah,2023,e-Finance,,,26,31-40,
Kedah,2023,e-Finance,,,16,41-50,
Kedah,2023,e-Finance,,,18,51-60,
Kedah,2023,e-Finance,,,11,>=61,
Kelantan,2021,Telecommunication crime,,,13,15-20,
Kelantan,2021,Telecommunication crime,,,39,21-30,
Kelantan,2021,Telecommunication crime,,,28,31-40,
Kelantan,2021,Telecommunication crime,,,26,41-50,
Kelantan,2021,Telecommunication crime,,,14,51-60,
Kelantan,2021,Telecommunication crime,,,11,>=61,
Kelantan,2021,e-Finance,,,3,15-20,
Kelantan,2021,e-Finance,,,13,21-30,
Kelantan,2021,e-Finance,,,10,31-40,
Kelantan,2021,e-Finance,,,6,41-50,
Kelantan,2021,e-Finance,,,7,51-60,
Kelantan,2021,e-Finance,,,2,>=61,
Kelantan,2022,Telecommunication crime,,,7,15-20,
Kelantan,2022,Telecommunication crime,,,76,21-30,
Kelantan,2022,Telecommunication crime,,,65,31-40,
Kelantan,2022,Telecommunication crime,,,56,41-50,
Kelantan,2022,Telecommunication crime,,,42,51-60,
Kelantan,2022,Telecommunication crime,,,21,>=61,
Kelantan,2022,e-Finance,,,3,15-20,
Kelantan,2022,e-Finance,,,11,21-30,
Kelantan,2022,e-Finance,,,13,31-40,
Kelantan,2022,e-Finance,,,13,41-50,
Kelantan,2022,e-Finance,,,4,51-60,
Kelantan,2022,e-Finance,,,4,>=61,
Kelantan,2023,Telecommunication crime,,,16,15-20,
Kelantan,2023,Telecommunication crime,,,80,21-30,
Kelantan,2023,Telecommunication crime,,,73,31-40,
Kelantan,2023,Telecommunication crime,,,49,41-50,
Kelantan,2023,Telecommunication crime,,,58,51-60,
Kelantan,2023,Telecommunication crime,,,47,>=61,
Kelantan,2023,e-Finance,,,2,15-20,
Kelantan,2023,e-Finance,,,9,21-30,
Kelantan,2023,e-Finance,,,10,31-40,
Kelantan,2023,e-Finance,,,11,41-50,
Kelantan,2023,e-Finance,,,5,51-60,
Kelantan,2023,e-Finance,,,8,>=61,
Melaka,2021,Telecommunication crime,,,10,15-20,
Melaka,2021,Telecommunication crime,,,62,21-30,
Melaka,2021,Telecommunication crime,,,58,31-40,
Melaka,2021,Telecommunication crime,,,57,41-50,
Melaka,2021,Telecommunication crime,,,41,51-60,
Melaka,2021,Telecommunication crime,,,41,>=61,
Melaka,2021,e-Finance,,,3,15-20,
Melaka,2021,e-Finance,,,11,21-30,
Melaka,2021,e-Finance,,,8,31-40,
Melaka,2021,e-Finance,,,6,41-50,
Melaka,2021,e-Finance,,,6,51-60,
Melaka,2021,e-Finance,,,4,>=61,
Melaka,2022,Telecommunication crime,,,18,15-20,
Melaka,2022,Telecommunication crime,,,112,21-30,
Melaka,2022,Telecommunication crime,,,90,31-40,
Melaka,2022,Telecommunication crime,,,65,41-50,
Melaka,2022,Telecommunication crime,,,53,51-60,
Melaka,2022,Telecommunication crime,,,43,>=61,
Melaka,2022,e-Finance,,,3,15-20,
Melaka,2022,e-Finance,,,6,21-30,
Melaka,2022,e-Finance,,,18,31-40,
Melaka,2022,e-Finance,,,11,41-50,
Melaka,2022,e-Finance,,,12,51-60,
Melaka,2022,e-Finance,,,2,>=61,
Melaka,2023,Telecommunication crime,,,33,15-20,
Melaka,2023,Telecommunication crime,,,124,21-30,
Melaka,2023,Telecommunication crime,,,74,31-40,
Melaka,2023,Telecommunication crime,,,56,41-50,
Melaka,2023,Telecommunication crime,,,53,51-60,
Melaka,2023,Telecommunication crime,,,27,>=61,
Melaka,2023,e-Finance,,,9,15-20,
Melaka,2023,e-Finance,,,20,21-30,
Melaka,2023,e-Finance,,,17,31-40,
Melaka,2023,e-Finance,,,14,41-50,
Melaka,2023,e-Finance,,,10,51-60,
Melaka,2023,e-Finance,,,7,>=61,
Negeri Sembilan,2021,Telecommunication crime,,,30,15-20,
Negeri Sembilan,2021,Telecommunication crime,,,202,21-30,
Negeri Sembilan,2021,Telecommunication crime,,,129,31-40,
Negeri Sembilan,2021,Telecommunication crime,,,93,41-50,
Negeri Sembilan,2021,Telecommunication crime,,,55,51-60,
Negeri Sembilan,2021,Telecommunication crime,,,56,>=61,
Negeri Sembilan,2021,e-Finance,,,13,15-20,
Negeri Sembilan,2021,e-Finance,,,39,21-30,
Negeri Sembilan,2021,e-Finance,,,17,31-40,
Negeri Sembilan,2021,e-Finance,,,13,41-50,
Negeri Sembilan,2021,e-Finance,,,7,51-60,
Negeri Sembilan,2021,e-Finance,,,6,>=61,
Negeri Sembilan,2022,Telecommunication crime,,,72,15-20,
Negeri Sembilan,2022,Telecommunication crime,,,294,21-30,
Negeri Sembilan,2022,Telecommunication crime,,,210,31-40,
Negeri Sembilan,2022,Telecommunication crime,,,139,41-50,
Negeri Sembilan,2022,Telecommunication crime,,,103,51-60,
Negeri Sembilan,2022,Telecommunication crime,,,65,>=61,
Negeri Sembilan,2022,e-Finance,,,15,15-20,
Negeri Sembilan,2022,e-Finance,,,23,21-30,
Negeri Sembilan,2022,e-Finance,,,43,31-40,
Negeri Sembilan,2022,e-Finance,,,30,41-50,
Negeri Sembilan,2022,e-Finance,,,14,51-60,
Negeri Sembilan,2022,e-Finance,,,8,>=61,
Negeri Sembilan,2023,Telecommunication crime,,,54,15-20,
Negeri Sembilan,2023,Telecommunication crime,,,230,21-30,
Negeri Sembilan,2023,Telecommunication crime,,,139,31-40,
Negeri Sembilan,2023,Telecommunication crime,,,113,41-50,
Negeri Sembilan,2023,Telecommunication crime,,,97,51-60,
Negeri Sembilan,2023,Telecommunication crime,,,75,>=61,
Negeri Sembilan,2023,e-Finance,,,14,15-20,
Negeri Sembilan,2023,e-Finance,,,41,21-30,
Negeri Sembilan,2023,e-Finance,,,32,31-40,
Negeri Sembilan,2023,e-Finance,,,33,41-50,
Negeri Sembilan,2023,e-Finance,,,20,51-60,
Negeri Sembilan,2023,e-Finance,,,16,>=61,
Pahang,2021,Telecommunication crime,,,18,15-20,
Pahang,2021,Telecommunication crime,,,84,21-30,
Pahang,2021,Telecommunication crime,,,62,31-40,
Pahang,2021,Telecommunication crime,,,49,41-50,
Pahang,2021,Telecommunication crime,,,41,51-60,
Pahang,2021,Telecommunication crime,,,31,>=61,
Pahang,2021,e-Finance,,,4,15-20,
Pahang,2021,e-Finance,,,5,21-30,
Pahang,2021,e-Finance,,,7,31-40,
Pahang,2021,e-Finance,,,6,41-50,
Pahang,2021,e-Finance,,,6,51-60,
Pahang,2021,e-Finance,,,5,>=61,
Pahang,2022,Telecommunication crime,,,15,15-20,
Pahang,2022,Telecommunication crime,,,152,21-30,
Pahang,2022,Telecommunication crime,,,124,31-40,
Pahang,2022,Telecommunication crime,,,86,41-50,
Pahang,2022,Telecommunication crime,,,66,51-60,
Pahang,2022,Telecommunication crime,,,51,>=61,
Pahang,2022,e-Finance,,,2,15-20,
Pahang,2022,e-Finance,,,11,21-30,
Pahang,2022,e-Finance,,,13,31-40,
Pahang,2022,e-Finance,,,7,41-50,
Pahang,2022,e-Finance,,,12,51-60,
Pahang,2022,e-Finance,,,3,>=61,
Pahang,2023,Telecommunication crime,,,49,15-20,
Pahang,2023,Telecommunication crime,,,156,21-30,
Pahang,2023,Telecommunication crime,,,125,31-40,
Pahang,2023,Telecommunication crime,,,95,41-50,
Pahang,2023,Telecommunication crime,,,74,51-60,
Pahang,2023,Telecommunication crime,,,63,>=61,
Pahang,2023,e-Finance,,,3,15-20,
Pahang,2023,e-Finance,,,18,21-30,
Pahang,2023,e-Finance,,,32,31-40,
Pahang,2023,e-Finance,,,17,41-50,
Pahang,2023,e-Finance,,,13,51-60,
Pahang,2023,e-Finance,,,4,>=61,
Pulau Pinang,2021,Telecommunication crime,,,54,15-20,
Pulau Pinang,2021,Telecommunication crime,,,254,21-30,
Pulau Pinang,2021,Telecommunication crime,,,191,31-40,
Pulau Pinang,2021,Telecommunication crime,,,127,41-50,
Pulau Pinang,2021,Telecommunication crime,,,113,51-60,
Pulau Pinang,2021,Telecommunication crime,,,90,>=61,
Pulau Pinang,2021,e-Finance,,,7,15-20,
Pulau Pinang,2021,e-Finance,,,18,21-30,
Pulau Pinang,2021,e-Finance,,,12,31-40,
Pulau Pinang,2021,e-Finance,,,16,41-50,
Pulau Pinang,2021,e-Finance,,,10,51-60,
Pulau Pinang,2021,e-Finance,,,3,>=61,
Pulau Pinang,2022,Telecommunication crime,,,31,15-20,
Pulau Pinang,2022,Telecommunication crime,,,228,21-30,
Pulau Pinang,2022,Telecommunication crime,,,156,31-40,
Pulau Pinang,2022,Telecommunication crime,,,128,41-50,
Pulau Pinang,2022,Telecommunication crime,,,108,51-60,
Pulau Pinang,2022,Telecommunication crime,,,67,>=61,
Pulau Pinang,2022,e-Finance,,,5,15-20,
Pulau Pinang,2022,e-Finance,,,19,21-30,
Pulau Pinang,2022,e-Finance,,,26,31-40,
Pulau Pinang,2022,e-Finance,,,23,41-50,
Pulau Pinang,2022,e-Finance,,,14,51-60,
Pulau Pinang,2022,e-Finance,,,6,>=61,
Pulau Pinang,2023,Telecommunication crime,,,56,15-20,
Pulau Pinang,2023,Telecommunication crime,,,314,21-30,
Pulau Pinang,2023,Telecommunication crime,,,193,31-40,
Pulau Pinang,2023,Telecommunication crime,,,173,41-50,
Pulau Pinang,2023,Telecommunication crime,,,115,51-60,
Pulau Pinang,2023,Telecommunication crime,,,98,>=61,
Pulau Pinang,2023,e-Finance,,,6,15-20,
Pulau Pinang,2023,e-Finance,,,20,21-30,
Pulau Pinang,2023,e-Finance,,,30,31-40,
Pulau Pinang,2023,e-Finance,,,47,41-50,
Pulau Pinang,2023,e-Finance,,,20,51-60,
Pulau Pinang,2023,e-Finance,,,11,>=61,
Perak,2021,Telecommunication crime,,,24,15-20,
Perak,2021,Telecommunication crime,,,120,21-30,
Perak,2021,Telecommunication crime,,,81,31-40,
Perak,2021,Telecommunication crime,,,57,41-50,
Perak,2021,Telecommunication crime,,,73,51-60,
Perak,2021,Telecommunication crime,,,77,>=61,
Perak,2021,e-Finance,,,0,15-20,
Perak,2021,e-Finance,,,15,21-30,
Perak,2021,e-Finance,,,12,31-40,
Perak,2021,e-Finance,,,4,41-50,
Perak,2021,e-Finance,,,8,51-60,
Perak,2021,e-Finance,,,4,>=61,
Perak,2022,Telecommunication crime,,,38,15-20,
Perak,2022,Telecommunication crime,,,129,21-30,
Perak,2022,Telecommunication crime,,,126,31-40,
Perak,2022,Telecommunication crime,,,106,41-50,
Perak,2022,Telecommunication crime,,,73,51-60,
Perak,2022,Telecommunication crime,,,63,>=61,
Perak,2022,e-Finance,,,3,15-20,
Perak,2022,e-Finance,,,14,21-30,
Perak,2022,e-Finance,,,11,31-40,
Perak,2022,e-Finance,,,17,41-50,
Perak,2022,e-Finance,,,9,51-60,
Perak,2022,e-Finance,,,8,>=61,
